dim	coefficient
692	-0.12129959323472286
693	0.04722122601440358
694	0.10417106827597661
695	-0.029917458175344504
696	0.05268220327415929
697	-0.1161984878220466
698	-0.13711791971412293
699	-0.12084737830038444
700	-0.08328602622123894
701	-0.0918359237119579
702	-0.053072719651654374
703	-0.06574627181904096
704	0.1266252879691004
705	-0.09123261113089448
706	-0.06924904528375334
707	-0.14871711167323554
708	-0.06648089489600728
709	-0.01241681149668086
710	-0.004014333269382338
711	-0.1096327467417842
712	0.016293567436136032
713	0.04622745921371073
714	-0.058837209552460974
715	0.06209831043198498
716	-0.024713423423205684
717	-0.022361769094514105
718	-0.06347208984354477
719	-0.07151079356866548
720	-0.05059792444090647
721	-0.14153632908362646
722	0.10431113942657688
723	-0.015221298749585485
724	-0.18186704520163885
725	-0.03385349253576971
726	-0.028846028321449165
727	-0.03918017667325654
728	-0.02021860628189364
729	-0.08939852874974284
730	-0.030538128942875113
731	-0.07788260702562357
732	-0.015423436583085646
733	-0.04788120160487399
734	-0.0627932599842658
735	-0.024836052452606984
736	-0.04293918177054235
737	-0.04299788202895778
738	-0.09424997091765391
739	-0.013387907864819333
740	-0.01813076753738665
741	-0.05009500595221707
742	-0.12785025836392036
743	-0.14752820252864335
744	-0.022193088931726723
745	-0.056691496565812585
746	0.05525710040552523
747	0.03715903869731902
748	-0.12176852051153843
749	-0.04132501043404928
750	-0.08418677594907081
751	-0.1107968475374113
752	0.01391660809559936
753	-0.056834113145634815
754	-0.052752983399271584
755	-0.06434095051835408
756	-0.0896369496869747
757	-0.008521752058121916
758	-0.031948542233465695
759	-0.0355005839920006
760	-0.052707079140459065
761	-0.06480900652684787
762	0.027204035028533184
763	-0.0707815882605295
764	-0.05064237605209392
765	0.009073857741686744
766	-0.17579301190314292
767	0.0071627545368898385
